office_country, sales_value ,,,,,
France," £3,138.46 ",,,,,
France," £5,282.64 ",,,,Row Labels,Average of sales_value
France," £3,986.84 ",,,,Australia,3100.476622
France," £2,163.50 ",,,,UK,3151.207675
France," £4,128.54 ",,,,France,3215.60123
France," £1,938.24 ",,,,USA,3239.471052
France," £1,676.14 ",,,,Japan,3336.569854
USA," £3,213.00 ",,,,Grand Total,3205.671098
USA," £2,441.04 ",,,,,
USA," £4,698.54 ",,,,,
USA," £2,716.56 ",,,,,
USA," £1,524.44 ",,,,,
USA," £1,374.34 ",,,,,
USA," £1,373.85 ",,,,,
USA, £798.38 ,,,,,
USA," £2,384.32 ",,,,,
USA," £2,348.75 ",,,,,
USA," £3,733.31 ",,,,,
USA," £4,374.39 ",,,,,
USA," £1,661.06 ",,,,,
USA," £3,898.10 ",,,,,
USA," £2,461.46 ",,,,,
USA," £2,121.35 ",,,,,
USA," £3,424.03 ",,,,,
USA," £4,581.72 ",,,,,
USA," £7,041.30 ",,,,,
USA," £3,547.64 ",,,,,
USA," £1,708.00 ",,,,,
USA," £1,158.78 ",,,,,
USA," £3,405.50 ",,,,,
USA," £3,711.12 ",,,,,
USA," £2,181.00 ",,,,,
USA," £2,818.56 ",,,,,
USA," £1,931.28 ",,,,,
USA," £2,700.62 ",,,,,
USA, £848.54 ,,,,,
Australia," £3,449.26 ",,,,,
Australia," £7,304.80 ",,,,,
Australia," £2,400.91 ",,,,,
Australia," £2,646.84 ",,,,,
Australia," £3,865.75 ",,,,,
Australia," £3,627.39 ",,,,,
Australia," £2,460.24 ",,,,,
Australia," £2,080.17 ",,,,,
Australia," £2,087.80 ",,,,,
Australia," £1,994.91 ",,,,,
Australia," £2,031.54 ",,,,,
Australia," £4,292.98 ",,,,,
Australia," £1,962.48 ",,,,,
Australia," £2,562.96 ",,,,,
Australia," £3,096.00 ",,,,,
Australia," £2,860.16 ",,,,,
Australia," £4,704.92 ",,,,,
Australia," £2,974.43 ",,,,,
Australia," £5,198.67 ",,,,,
Australia," £9,299.71 ",,,,,
Australia," £3,176.26 ",,,,,
Australia," £1,645.00 ",,,,,
Australia," £3,353.92 ",,,,,
Australia," £2,976.36 ",,,,,
Australia," £2,315.72 ",,,,,
Australia," £1,566.30 ",,,,,
Australia," £1,908.90 ",,,,,
Australia," £1,334.60 ",,,,,
Australia," £1,681.82 ",,,,,
Australia," £2,100.75 ",,,,,
Australia," £3,303.10 ",,,,,
Australia," £2,059.20 ",,,,,
Australia," £4,755.60 ",,,,,
Australia," £3,472.70 ",,,,,
Australia," £2,534.84 ",,,,,
Australia," £5,029.50 ",,,,,
Australia," £1,909.75 ",,,,,
Australia," £7,518.50 ",,,,,
Australia," £1,503.32 ",,,,,
Australia," £4,749.62 ",,,,,
Australia," £1,193.01 ",,,,,
Australia," £2,880.48 ",,,,,
Australia," £4,718.28 ",,,,,
Australia," £5,657.40 ",,,,,
Australia," £3,590.19 ",,,,,
Australia," £3,844.53 ",,,,,
Australia," £4,753.14 ",,,,,
Australia, £973.56 ,,,,,
Australia," £2,552.50 ",,,,,
Australia," £2,870.49 ",,,,,
Australia," £4,036.32 ",,,,,
Australia," £2,060.06 ",,,,,
Australia," £4,288.50 ",,,,,
Australia," £2,192.58 ",,,,,
Australia," £5,176.35 ",,,,,
France," £3,660.75 ",,,,,
France," £2,538.14 ",,,,,
France," £5,577.48 ",,,,,
France," £2,454.20 ",,,,,
France," £1,927.33 ",,,,,
France," £2,224.74 ",,,,,
France," £2,434.50 ",,,,,
France," £1,851.00 ",,,,,
France," £2,378.00 ",,,,,
France," £1,819.26 ",,,,,
France," £2,067.70 ",,,,,
France," £1,637.16 ",,,,,
France," £1,525.70 ",,,,,
France," £2,747.52 ",,,,,
France," £3,228.03 ",,,,,
France," £4,897.92 ",,,,,
France," £3,096.00 ",,,,,
France," £1,858.76 ",,,,,
France," £2,812.32 ",,,,,
France," £3,914.05 ",,,,,
France," £1,890.48 ",,,,,
France," £2,487.47 ",,,,,
France," £3,074.27 ",,,,,
France," £3,270.43 ",,,,,
France," £2,052.80 ",,,,,
France," £1,607.76 ",,,,,
France," £8,317.80 ",,,,,
France," £7,380.38 ",,,,,
France," £1,541.69 ",,,,,
France," £1,205.20 ",,,,,
France," £2,585.59 ",,,,,
France," £3,252.30 ",,,,,
France," £2,633.40 ",,,,,
France," £3,974.95 ",,,,,
France," £1,774.78 ",,,,,
